,決算年度,団体コード ,団体名,表番号,行番号,行名称,001:決算額
467,2013,360007,徳島県,5,5,地方交付税,150594295
468,2013,370002,香川県,5,5,地方交付税,113008673
469,2013,380008,愛媛県,5,5,地方交付税,168843400
470,2013,390003,高知県,5,5,地方交付税,174299028
471,2013,400009,福岡県,5,5,地方交付税,280273676
472,2013,410004,佐賀県,5,5,地方交付税,144862271
473,2013,420000,長崎県,5,5,地方交付税,218403628
474,2013,430005,熊本県,5,5,地方交付税,216648576
475,2013,440001,大分県,5,5,地方交付税,173556228
476,2013,450006,宮崎県,5,5,地方交付税,185146311
477,2013,460001,鹿児島県,5,5,地方交付税,270891855
478,2013,470007,沖縄県,5,5,地方交付税,208578944
479,2013,合計(全国),,5,5,地方交付税,8848887324
480,2013,10006,北海道,5,14,国庫支出金,412004290
481,2013,20001,青森県,5,14,国庫支出金,128771860
482,2013,30007,岩手県,5,14,国庫支出金,219165848
483,2013,40002,宮城県,5,14,国庫支出金,348947661
484,2013,50008,秋田県,5,14,国庫支出金,85772192
485,2013,60003,山形県,5,14,国庫支出金,89931879
486,2013,70009,福島県,5,14,国庫支出金,570669412
487,2013,80004,茨城県,5,14,国庫支出金,155413985
488,2013,90000,栃木県,5,14,国庫支出金,102491145
489,2013,100005,群馬県,5,14,国庫支出金,112032071
490,2013,110001,埼玉県,5,14,国庫支出金,176690954
491,2013,120006,千葉県,5,14,国庫支出金,189726431
492,2013,130001,東京都,5,14,国庫支出金,410105915
493,2013,140007,神奈川県,5,14,国庫支出金,183495547
494,2013,150002,新潟県,5,14,国庫支出金,219200262
495,2013,160008,富山県,5,14,国庫支出金,82705347
496,2013,170003,石川県,5,14,国庫支出金,95086027
497,2013,180009,福井県,5,14,国庫支出金,87753066
498,2013,190004,山梨県,5,14,国庫支出金,82990170
499,2013,200000,長野県,5,14,国庫支出金,125057458
500,2013,210005,岐阜県,5,14,国庫支出金,120782408
501,2013,220001,静岡県,5,14,国庫支出金,147881698
502,2013,230006,愛知県,5,14,国庫支出金,227009269
503,2013,240001,三重県,5,14,国庫支出金,101140349
504,2013,250007,滋賀県,5,14,国庫支出金,63022980
505,2013,260002,京都府,5,14,国庫支出金,111747798
506,2013,270008,大阪府,5,14,国庫支出金,271124193
507,2013,280003,兵庫県,5,14,国庫支出金,227228492
508,2013,290009,奈良県,5,14,国庫支出金,81100976
509,2013,300004,和歌山県,5,14,国庫支出金,109251059
510,2013,310000,鳥取県,5,14,国庫支出金,59751489
